host_original	host_clean	species	genus	family	order	class	phylum	kingdom
Erect-crested penguin	Erect-crested penguin	Eudyptes sclateri	Eudyptes	Spheniscidae	Sphenisciformes	Aves	Chordata	Metazoa
Bar-tailed godwit	Bar-tailed godwit	Limosa lapponica	Limosa	Scolopacidae	Charadriiformes	Aves	Chordata	Metazoa
Red knot	Calidris canutus	Calidris canutus	Calidris	Scolopacidae	Charadriiformes	Aves	Chordata	Metazoa
South Island pied oystercatcher	Haematopus finschi	Haematopus finschi	Haematopus	Haematopodidae	Charadriiformes	Aves	Chordata	Metazoa
Anas platyrhynchos domestica; breed: Cherry Valley	Anas platyrhynchos domestica	Anas platyrhynchos	Anas	Anatidae	Anseriformes	Aves	Chordata	Metazoa
caprine	Capra hircus	Capra hircus	Capra	Bovidae	Artiodactyla	Mammalia	Chordata	Metazoa
Circus maillardi; male	Circus maillardi	Circus maillardi	Circus	Accipitridae	Accipitriformes	Aves	Chordata	Metazoa
Circus maillardi; female	Circus maillardi	Circus maillardi	Circus	Accipitridae	Accipitriformes	Aves	Chordata	Metazoa
canine	Canis lupus familiaris	Canis lupus	Canis	Canidae	Carnivora	Mammalia	Chordata	Metazoa
Rattus andamanensis	Rattus andamanensis	Rattus andamanensis	Rattus	Muridae	Rodentia	Mammalia	Chordata	Metazoa
Apodemus agrarius	Apodemus agrarius	Apodemus agrarius	Apodemus	Muridae	Rodentia	Mammalia	Chordata	Metazoa
Rattus tanezumi	Rattus tanezumi	Rattus tanezumi	Rattus	Muridae	Rodentia	Mammalia	Chordata	Metazoa
Lasiopodomys brandtii	Lasiopodomys brandtii	Lasiopodomys brandtii	Lasiopodomys	Cricetidae	Rodentia	Mammalia	Chordata	Metazoa
Myotis austroriparius	Myotis austroriparius	Myotis austroriparius	Myotis	Vespertilionidae	Chiroptera	Mammalia	Chordata	Metazoa
Rattus rattus	Rattus rattus	Rattus rattus	Rattus	Muridae	Rodentia	Mammalia	Chordata	Metazoa
Mus musculus	Mus musculus	Mus musculus	Mus	Muridae	Rodentia	Mammalia	Chordata	Metazoa
sea lion	Otariidae	NA	NA	Otariidae	Carnivora	Mammalia	Chordata	Metazoa
domestic pig	Sus scrofa	Sus scrofa	Sus	Suidae	Artiodactyla	Mammalia	Chordata	Metazoa
swine	Sus scrofa	Sus scrofa	Sus	Suidae	Artiodactyla	Mammalia	Chordata	Metazoa
Pteropus medius	Pteropus medius	Pteropus medius	Pteropus	Pteropodidae	Chiroptera	Mammalia	Chordata	Metazoa
Suncus murinus	Suncus murinus	Suncus murinus	Suncus	Soricidae	Eulipotyphla	Mammalia	Chordata	Metazoa
Bandicota indica	Bandicota indica	Bandicota indica	Bandicota	Muridae	Rodentia	Mammalia	Chordata	Metazoa
Rattus norvegicus	Rattus norvegicus	Rattus norvegicus	Rattus	Muridae	Rodentia	Mammalia	Chordata	Metazoa
Canis lupus familiaris	Canis lupus familiaris	Canis lupus	Canis	Canidae	Carnivora	Mammalia	Chordata	Metazoa
chicken (broiler)	Gallus gallus	Gallus gallus	Gallus	Phasianidae	Galliformes	Aves	Chordata	Metazoa
Trichosurus vulpecula	Trichosurus vulpecula	Trichosurus vulpecula	Trichosurus	Phalangeridae	Diprotodontia	Mammalia	Chordata	Metazoa
Rhinolophus sinicus	Rhinolophus sinicus	Rhinolophus sinicus	Rhinolophus	Rhinolophidae	Chiroptera	Mammalia	Chordata	Metazoa
Rhinolophus affinis	Rhinolophus affinis	Rhinolophus affinis	Rhinolophus	Rhinolophidae	Chiroptera	Mammalia	Chordata	Metazoa
Rhinolophus ferrumequinum	Rhinolophus ferrumequinum	Rhinolophus ferrumequinum	Rhinolophus	Rhinolophidae	Chiroptera	Mammalia	Chordata	Metazoa
Myotis sp.	Myotis	NA	Myotis	Vespertilionidae	Chiroptera	Mammalia	Chordata	Metazoa
Miniopterus schreibersii	Miniopterus schreibersii	Miniopterus schreibersii	Miniopterus	Miniopteridae	Chiroptera	Mammalia	Chordata	Metazoa
Chiroptera sp.	Chiroptera	NA	NA	NA	Chiroptera	Mammalia	Chordata	Metazoa
Hipposideros sp.	Hipposideros	NA	Hipposideros	Hipposideridae	Chiroptera	Mammalia	Chordata	Metazoa
Rhinolophus pusillus	Rhinolophus pusillus	Rhinolophus pusillus	Rhinolophus	Rhinolophidae	Chiroptera	Mammalia	Chordata	Metazoa
Taphozous sp.	Taphozous	NA	Taphozous	Emballonuridae	Chiroptera	Mammalia	Chordata	Metazoa
Myotis chinensis	Myotis chinensis	Myotis chinensis	Myotis	Vespertilionidae	Chiroptera	Mammalia	Chordata	Metazoa
Myotis laniger	Myotis laniger	Myotis laniger	Myotis	Vespertilionidae	Chiroptera	Mammalia	Chordata	Metazoa
Rousettus leschenaultii	Rousettus leschenaultii	Rousettus leschenaultii	Rousettus	Pteropodidae	Chiroptera	Mammalia	Chordata	Metazoa
Myotis adversus	Myotis adversus	Myotis adversus	Myotis	Vespertilionidae	Chiroptera	Mammalia	Chordata	Metazoa
Myotis siligorensis	Myotis siligorensis	Myotis siligorensis	Myotis	Vespertilionidae	Chiroptera	Mammalia	Chordata	Metazoa
Hipposideros pomona	Hipposideros pomona	Hipposideros pomona	Hipposideros	Hipposideridae	Chiroptera	Mammalia	Chordata	Metazoa
Taphozous melanopogon	Taphozous melanopogon	Taphozous melanopogon	Taphozous	Emballonuridae	Chiroptera	Mammalia	Chordata	Metazoa
Miniopterus pusillus	Miniopterus pusillus	Miniopterus pusillus	Miniopterus	Miniopteridae	Chiroptera	Mammalia	Chordata	Metazoa
Myotis pilosus	Myotis pilosus	Myotis pilosus	Myotis	Vespertilionidae	Chiroptera	Mammalia	Chordata	Metazoa
fish	Actinopterygii	NA	NA	NA	NA	NA	Chordata	Metazoa
Hipposideros larvatus	Hipposideros larvatus	Hipposideros larvatus	Hipposideros	Hipposideridae	Chiroptera	Mammalia	Chordata	Metazoa
Scotophilus kuhlii	Scotophilus kuhlii	Scotophilus kuhlii	Scotophilus	Vespertilionidae	Chiroptera	Mammalia	Chordata	Metazoa
Tylonycteris pachypus	Tylonycteris pachypus	Tylonycteris pachypus	Tylonycteris	Vespertilionidae	Chiroptera	Mammalia	Chordata	Metazoa
Gallus gallus gallus	Gallus gallus	Gallus gallus	Gallus	Phasianidae	Galliformes	Aves	Chordata	Metazoa
pig	Sus scrofa	Sus scrofa	Sus	Suidae	Artiodactyla	Mammalia	Chordata	Metazoa
Chroicocephalus ridibundus	Chroicocephalus ridibundus	Chroicocephalus ridibundus	Chroicocephalus	Laridae	Charadriiformes	Aves	Chordata	Metazoa
Leopardus guttulus	Leopardus guttulus	Leopardus guttulus	Leopardus	Felidae	Carnivora	Mammalia	Chordata	Metazoa
rat	Rattus norvegicus	Rattus norvegicus	Rattus	Muridae	Rodentia	Mammalia	Chordata	Metazoa
Gyps himalayensis	Gyps himalayensis	Gyps himalayensis	Gyps	Accipitridae	Accipitriformes	Aves	Chordata	Metazoa
Anser anser	Anser anser	Anser anser	Anser	Anatidae	Anseriformes	Aves	Chordata	Metazoa
Neodon fuscus	Neodon fuscus	Neodon fuscus	Neodon	Cricetidae	Rodentia	Mammalia	Chordata	Metazoa
Pseudois nayaur	Pseudois nayaur	Pseudois nayaur	Pseudois	Bovidae	Artiodactyla	Mammalia	Chordata	Metazoa
