host_original	host_clean	species	genus	family	order	class	phylum	kingdom
Aethomys hindei	Aethomys hindei	Aethomys hindei	Aethomys	Muridae	Rodentia	Mammalia	Chordata	Metazoa
Coleura afra	Coleura afra	Coleura afra	Coleura	Emballonuridae	Chiroptera	Mammalia	Chordata	Metazoa
Miniopterus sp. clade 1 TD-2020	Miniopterus sp. clade 1 TD-2020	Miniopterus sp. clade 1 TD-2020	Miniopterus	Miniopteridae	Chiroptera	Mammalia	Chordata	Metazoa
Miniopterus sp. clade 10 TD-2020	Miniopterus sp. clade 10 TD-2020	Miniopterus sp. clade 10 TD-2020	Miniopterus	Miniopteridae	Chiroptera	Mammalia	Chordata	Metazoa
Miniopterus sp. B76	Miniopterus sp.	Miniopterus sp.	Miniopterus	Miniopteridae	Chiroptera	Mammalia	Chordata	Metazoa
Miniopterus minor	Miniopterus minor	Miniopterus minor	Miniopterus	Miniopteridae	Chiroptera	Mammalia	Chordata	Metazoa
Cardioderma cor	Cardioderma cor	Cardioderma cor	Cardioderma	Megadermatidae	Chiroptera	Mammalia	Chordata	Metazoa
Hipposideros caffer	Hipposideros caffer	Hipposideros caffer	Hipposideros	Hipposideridae	Chiroptera	Mammalia	Chordata	Metazoa
Mops condylurus	Mops condylurus	Mops condylurus	Mops	Molossidae	Chiroptera	Mammalia	Chordata	Metazoa
Rhinolophus pearsonii	Rhinolophus pearsonii	Rhinolophus pearsonii	Rhinolophus	Rhinolophidae	Chiroptera	Mammalia	Chordata	Metazoa
Myotis ricketti	Myotis ricketti	Myotis pilosus	Myotis	Vespertilionidae	Chiroptera	Mammalia	Chordata	Metazoa
Ia io	Ia io	Ia io	Ia	Vespertilionidae	Chiroptera	Mammalia	Chordata	Metazoa
Rhizomys pruinosus	Rhizomys pruinosus	Rhizomys pruinosus	Rhizomys	Spalacidae	Rodentia	Mammalia	Chordata	Metazoa
Rattus pyctoris	Rattus pyctoris	Rattus pyctoris	Rattus	Muridae	Rodentia	Mammalia	Chordata	Metazoa
Niviventer sp.	Niviventer	NA	Niviventer	Muridae	Rodentia	Mammalia	Chordata	Metazoa
Caracal caracal	Caracal caracal	Caracal caracal	Caracal	Felidae	Carnivora	Mammalia	Chordata	Metazoa
Eviota sp.	Eviota	NA	Eviota	Gobiidae	Gobiiformes	Actinopteri	Chordata	Metazoa
Dascyllus reticulatus	Dascyllus reticulatus	Dascyllus reticulatus	Dascyllus	Pomacentridae	NA	Actinopteri	Chordata	Metazoa
Chaetodon baronessa	Chaetodon baronessa	Chaetodon baronessa	Chaetodon	Chaetodontidae	Chaetodontiformes	Actinopteri	Chordata	Metazoa
Plagiotremus tapeinosoma	Plagiotremus tapeinosoma	Plagiotremus tapeinosoma	Plagiotremus	Blenniidae	Blenniiformes	Actinopteri	Chordata	Metazoa
Chromis viridis	Chromis viridis	Chromis viridis	Chromis	Pomacentridae	NA	Actinopteri	Chordata	Metazoa
Nyctalus plancyi; sex: female	Nyctalus plancyi	Nyctalus plancyi	Nyctalus	Vespertilionidae	Chiroptera	Mammalia	Chordata	Metazoa
Nyctalus plancyi; sex: male	Nyctalus plancyi	Nyctalus plancyi	Nyctalus	Vespertilionidae	Chiroptera	Mammalia	Chordata	Metazoa
Rhinolophus pusillus; sex: male	Rhinolophus pusillus	Rhinolophus pusillus	Rhinolophus	Rhinolophidae	Chiroptera	Mammalia	Chordata	Metazoa
Scotophilus kuhlii; sex: male	Scotophilus kuhlii	Scotophilus kuhlii	Scotophilus	Vespertilionidae	Chiroptera	Mammalia	Chordata	Metazoa
Scotophilus kuhlii; sex: female	Scotophilus kuhlii	Scotophilus kuhlii	Scotophilus	Vespertilionidae	Chiroptera	Mammalia	Chordata	Metazoa
Taphozous melanopogon; sex: female	Taphozous melanopogon	Taphozous melanopogon	Taphozous	Emballonuridae	Chiroptera	Mammalia	Chordata	Metazoa
Taphozous melanopogon; sex: female (pregnant)	Taphozous melanopogon	Taphozous melanopogon	Taphozous	Emballonuridae	Chiroptera	Mammalia	Chordata	Metazoa
Tylonycteris robustula; sex: male	Tylonycteris robustula	Tylonycteris robustula	Tylonycteris	Vespertilionidae	Chiroptera	Mammalia	Chordata	Metazoa
Eptesicus pachyomus; sex: female	Eptesicus pachyomus	Cnephaeus pachyomus	Cnephaeus	Vespertilionidae	Chiroptera	Mammalia	Chordata	Metazoa
Myotis ricketti; sex: male	Myotis ricketti	Myotis pilosus	Myotis	Vespertilionidae	Chiroptera	Mammalia	Chordata	Metazoa
Myotis ricketti; sex: female	Myotis ricketti	Myotis pilosus	Myotis	Vespertilionidae	Chiroptera	Mammalia	Chordata	Metazoa
Miniopterus schreibersii; sex: female	Miniopterus schreibersii	Miniopterus schreibersii	Miniopterus	Miniopteridae	Chiroptera	Mammalia	Chordata	Metazoa
Miniopterus schreibersii; sex: male	Miniopterus schreibersii	Miniopterus schreibersii	Miniopterus	Miniopteridae	Chiroptera	Mammalia	Chordata	Metazoa
Marmota caudata	Marmota caudata	Marmota caudata	Marmota	Sciuridae	Rodentia	Mammalia	Chordata	Metazoa
Betta splendens	Betta splendens	Betta splendens	Betta	Osphronemidae	Anabantiformes	Actinopteri	Chordata	Metazoa
Oryctolagus cuniculus	Oryctolagus cuniculus	Oryctolagus cuniculus	Oryctolagus	Leporidae	Lagomorpha	Mammalia	Chordata	Metazoa
Peking duckling	Anas platyrhynchos	Anas platyrhynchos	Anas	Anatidae	Anseriformes	Aves	Chordata	Metazoa
Woodworthia maculata	Woodworthia maculata	Woodworthia maculata	Woodworthia	Diplodactylidae	Squamata	Lepidosauria	Chordata	Metazoa
Oligosoma aeneum	Oligosoma aeneum	Oligosoma aeneum	Oligosoma	Scincidae	Squamata	Lepidosauria	Chordata	Metazoa
Pelophylax nigromaculatus	Pelophylax nigromaculatus	Pelophylax nigromaculatus	Pelophylax	Ranidae	Anura	Amphibia	Chordata	Metazoa
duck; breed: Pekin	Anas platyrhynchos	Anas platyrhynchos	Anas	Anatidae	Anseriformes	Aves	Chordata	Metazoa
dog	Canis lupus familiaris	Canis lupus	Canis	Canidae	Carnivora	Mammalia	Chordata	Metazoa
racing pigeon	Columba livia	Columba livia	Columba	Columbidae	Columbiformes	Aves	Chordata	Metazoa
Anguilla dieffenbachii	Anguilla dieffenbachii	Anguilla dieffenbachii	Anguilla	Anguillidae	Anguilliformes	Actinopteri	Chordata	Metazoa
wild boar	Sus scrofa	Sus scrofa	Sus	Suidae	Artiodactyla	Mammalia	Chordata	Metazoa
red fox	Vulpes vulpes	Vulpes vulpes	Vulpes	Canidae	Carnivora	Mammalia	Chordata	Metazoa
Goose	Anser anser	Anser anser	Anser	Anatidae	Anseriformes	Aves	Chordata	Metazoa
Duck	Anas platyrhynchos	Anas platyrhynchos	Anas	Anatidae	Anseriformes	Aves	Chordata	Metazoa
Canis lupus familiaris; sex: male	Canis lupus familiaris	Canis lupus	Canis	Canidae	Carnivora	Mammalia	Chordata	Metazoa
Canis lupus familiaris; sex: female	Canis lupus familiaris	Canis lupus	Canis	Canidae	Carnivora	Mammalia	Chordata	Metazoa
Hierococcyx sparverioides	Hierococcyx sparverioides	Hierococcyx sparverioides	Hierococcyx	Cuculidae	Cuculiformes	Aves	Chordata	Metazoa
Pachyptila vittata	Pachyptila vittata	Pachyptila vittata	Pachyptila	Procellariidae	Procellariiformes	Aves	Chordata	Metazoa
Gonidea angulata	Gonidea angulata	Gonidea angulata	Gonidea	Unionidae	Unionida	Bivalvia	Mollusca	Metazoa
Araneae	Araneae	NA	NA	NA	Araneae	Arachnida	Arthropoda	Metazoa
Oribatida	Oribatida	NA	NA	NA	Sarcoptiformes	Arachnida	Arthropoda	Metazoa
Rattus_tanezumi	Rattus_tanezumi	Rattus tanezumi	Rattus	Muridae	Rodentia	Mammalia	Chordata	Metazoa
Turdus dissimilis	Turdus dissimilis	Turdus dissimilis	Turdus	Turdidae	Passeriformes	Aves	Chordata	Metazoa
Bandicota savilei	Bandicota savilei	Bandicota savilei	Bandicota	Muridae	Rodentia	Mammalia	Chordata	Metazoa
Chalinolobus tuberculatus	Chalinolobus tuberculatus	Chalinolobus tuberculatus	Chalinolobus	Vespertilionidae	Chiroptera	Mammalia	Chordata	Metazoa
Rhinolophus sp.	Rhinolophus	NA	Rhinolophus	Rhinolophidae	Chiroptera	Mammalia	Chordata	Metazoa
Pipistrellus pipistrellus	Pipistrellus pipistrellus	Pipistrellus pipistrellus	Pipistrellus	Vespertilionidae	Chiroptera	Mammalia	Chordata	Metazoa
Vespertilio sinensis	Vespertilio sinensis	Vespertilio sinensis	Vespertilio	Vespertilionidae	Chiroptera	Mammalia	Chordata	Metazoa
Phasianus colchicus	Phasianus colchicus	Phasianus colchicus	Phasianus	Phasianidae	Galliformes	Aves	Chordata	Metazoa
Aythya marila	Aythya marila	Aythya marila	Aythya	Anatidae	Anseriformes	Aves	Chordata	Metazoa
Anas acuta	Anas acuta	Anas acuta	Anas	Anatidae	Anseriformes	Aves	Chordata	Metazoa
Anas crecca	Anas crecca	Anas crecca	Anas	Anatidae	Anseriformes	Aves	Chordata	Metazoa
Streptopelia orientalis	Streptopelia orientalis	Streptopelia orientalis	Streptopelia	Columbidae	Columbiformes	Aves	Chordata	Metazoa
ferret	Mustela putorius furo	Mustela putorius	Mustela	Mustelidae	Carnivora	Mammalia	Chordata	Metazoa
Chodsigoa smithii	Chodsigoa smithii	Chodsigoa smithii	Chodsigoa	Soricidae	Eulipotyphla	Mammalia	Chordata	Metazoa
Niviventer niviventer	Niviventer niviventer	Niviventer niviventer	Niviventer	Muridae	Rodentia	Mammalia	Chordata	Metazoa
Typhlomys cinereus	Typhlomys cinereus	Typhlomys cinereus	Typhlomys	Platacanthomyidae	Rodentia	Mammalia	Chordata	Metazoa
Pipistrellus abramus	Pipistrellus abramus	Pipistrellus abramus	Pipistrellus	Vespertilionidae	Chiroptera	Mammalia	Chordata	Metazoa
Myotis davidii	Myotis davidii	Myotis davidii	Myotis	Vespertilionidae	Chiroptera	Mammalia	Chordata	Metazoa
Hypsugo pulveratus	Hypsugo pulveratus	Hypsugo pulveratus	Hypsugo	Vespertilionidae	Chiroptera	Mammalia	Chordata	Metazoa
Leopoldamys edwardsi	Leopoldamys edwardsi	Leopoldamys edwardsi	Leopoldamys	Muridae	Rodentia	Mammalia	Chordata	Metazoa
Niviventer fulvescens	Niviventer fulvescens	Niviventer fulvescens	Niviventer	Muridae	Rodentia	Mammalia	Chordata	Metazoa
Berylmys bowersi	Berylmys bowersi	Berylmys bowersi	Berylmys	Muridae	Rodentia	Mammalia	Chordata	Metazoa
Rattus losea	Rattus losea	Rattus losea	Rattus	Muridae	Rodentia	Mammalia	Chordata	Metazoa
Hipposideros pratti	Hipposideros pratti	Hipposideros pratti	Hipposideros	Hipposideridae	Chiroptera	Mammalia	Chordata	Metazoa
laying hens	Gallus gallus	Gallus gallus	Gallus	Phasianidae	Galliformes	Aves	Chordata	Metazoa
Bovine	Bos taurus	Bos taurus	Bos	Bovidae	Artiodactyla	Mammalia	Chordata	Metazoa
Hipposideros sp. (bat)	Hipposideros	NA	Hipposideros	Hipposideridae	Chiroptera	Mammalia	Chordata	Metazoa
bat	Chiroptera	NA	NA	NA	Chiroptera	Mammalia	Chordata	Metazoa
Rhinolophus sp. (bat)	Rhinolophus	NA	Rhinolophus	Rhinolophidae	Chiroptera	Mammalia	Chordata	Metazoa
Miniopterus sp. (bat)	Miniopterus	NA	Miniopterus	Miniopteridae	Chiroptera	Mammalia	Chordata	Metazoa
Eidolon helvum (bat)	Eidolon helvum	Eidolon helvum	Eidolon	Pteropodidae	Chiroptera	Mammalia	Chordata	Metazoa
Nycteris sp. (bat)	Nycteris	NA	Nycteris	Nycteridae	Chiroptera	Mammalia	Chordata	Metazoa
bird	Aves	NA	NA	NA	NA	Aves	Chordata	Metazoa
Domestic goat	Domestic goat	Capra hircus	Capra	Bovidae	Artiodactyla	Mammalia	Chordata	Metazoa
amur tiger	Panthera tigris altaica	Panthera tigris	Panthera	Felidae	Carnivora	Mammalia	Chordata	Metazoa
Limnochromis auritus	Limnochromis auritus	Limnochromis auritus	Limnochromis	Cichlidae	Cichliformes	Actinopteri	Chordata	Metazoa
Benthochromis horii	Benthochromis horii	Benthochromis horii	Benthochromis	Cichlidae	Cichliformes	Actinopteri	Chordata	Metazoa
Xenotilapia nasus	Xenotilapia nasus	Xenotilapia nasus	Xenotilapia	Cichlidae	Cichliformes	Actinopteri	Chordata	Metazoa
Lamprologus kungweensis	Lamprologus kungweensis	Neolamprologus kungweensis	Neolamprologus	Cichlidae	Cichliformes	Actinopteri	Chordata	Metazoa
Petrochromis famula	Petrochromis famula	Petrochromis famula	Petrochromis	Cichlidae	Cichliformes	Actinopteri	Chordata	Metazoa
Neolamprologus brevis	Neolamprologus brevis	Neolamprologus brevis	Neolamprologus	Cichlidae	Cichliformes	Actinopteri	Chordata	Metazoa
Enantiopus melanogenys	Enantiopus melanogenys	Xenotilapia melanogenys	Xenotilapia	Cichlidae	Cichliformes	Actinopteri	Chordata	Metazoa
Xenotilapia boulengeri	Xenotilapia boulengeri	Xenotilapia boulengeri	Xenotilapia	Cichlidae	Cichliformes	Actinopteri	Chordata	Metazoa
Neolamprologus tetracanthus	Neolamprologus tetracanthus	Neolamprologus tetracanthus	Neolamprologus	Cichlidae	Cichliformes	Actinopteri	Chordata	Metazoa
Retropinna retropinna	Retropinna retropinna	Retropinna retropinna	Retropinna	Retropinnidae	Osmeriformes	Actinopteri	Chordata	Metazoa
Nyctereutes procyonoides (Raccoon dog)	Nyctereutes procyonoides	Nyctereutes procyonoides	Nyctereutes	Canidae	Carnivora	Mammalia	Chordata	Metazoa
Miniopterus orianae oceanensis	Miniopterus orianae oceanensis	Miniopterus orianae	Miniopterus	Miniopteridae	Chiroptera	Mammalia	Chordata	Metazoa
donkey	Equus asinus	Equus asinus	Equus	Equidae	Perissodactyla	Mammalia	Chordata	Metazoa
Bos taurus breed Hanwoo	Bos taurus	Bos taurus	Bos	Bovidae	Artiodactyla	Mammalia	Chordata	Metazoa
Eonycteris spelaea	Eonycteris spelaea	Eonycteris spelaea	Eonycteris	Pteropodidae	Chiroptera	Mammalia	Chordata	Metazoa
Rhinolophus stheno	Rhinolophus stheno	Rhinolophus stheno	Rhinolophus	Rhinolophidae	Chiroptera	Mammalia	Chordata	Metazoa
Rhinolophus thomasi	Rhinolophus thomasi	Rhinolophus thomasi	Rhinolophus	Rhinolophidae	Chiroptera	Mammalia	Chordata	Metazoa
Cynopterus sphinx	Cynopterus sphinx	Cynopterus sphinx	Cynopterus	Pteropodidae	Chiroptera	Mammalia	Chordata	Metazoa
Rhinolophus macrotis	Rhinolophus macrotis	Rhinolophus macrotis	Rhinolophus	Rhinolophidae	Chiroptera	Mammalia	Chordata	Metazoa
Ovibos moschatus	Ovibos	NA	Ovibos	Bovidae	Artiodactyla	Mammalia	Chordata	Metazoa
Podarcis siculus; sex: female	Podarcis siculus	Podarcis siculus	Podarcis	Lacertidae	Squamata	Lepidosauria	Chordata	Metazoa
Podarcis siculus; sex: male	Podarcis siculus	Podarcis siculus	Podarcis	Lacertidae	Squamata	Lepidosauria	Chordata	Metazoa
Tarentola mauritanica; sex: female	Tarentola mauritanica	Tarentola mauritanica	Tarentola	Phyllodactylidae	Squamata	Lepidosauria	Chordata	Metazoa
Tarentola mauritanica; sex: male	Tarentola mauritanica	Tarentola mauritanica	Tarentola	Phyllodactylidae	Squamata	Lepidosauria	Chordata	Metazoa
Canis lupus (wolf)	Canis lupus	Canis lupus	Canis	Canidae	Carnivora	Mammalia	Chordata	Metazoa
Cervus elaphus (red deer)	Cervus elaphus	Cervus elaphus	Cervus	Cervidae	Artiodactyla	Mammalia	Chordata	Metazoa
Mustelidae	Mustelidae	NA	NA	Mustelidae	Carnivora	Mammalia	Chordata	Metazoa
Hystrix cristata (porcupine)	Hystrix cristata	Hystrix cristata	Hystrix	Hystricidae	Rodentia	Mammalia	Chordata	Metazoa
rodent	Rodentia	NA	NA	NA	Rodentia	Mammalia	Chordata	Metazoa
Bufo gargarizans	Bufo gargarizans	Bufo gargarizans	Bufo	Bufonidae	Anura	Amphibia	Chordata	Metazoa
Sus scrofa domesticus (pig)	Sus scrofa domesticus	Sus scrofa	Sus	Suidae	Artiodactyla	Mammalia	Chordata	Metazoa
Rattus flavipectus	Rattus flavipectus	Rattus tanezumi	Rattus	Muridae	Rodentia	Mammalia	Chordata	Metazoa
Hippocampus erectus	Hippocampus erectus	Hippocampus erectus	Hippocampus	Syngnathidae	Syngnathiformes	Actinopteri	Chordata	Metazoa
environment	environmental	NA	NA	NA	NA	NA	NA	NA
goose embryo	Anser anser	Anser anser	Anser	Anatidae	Anseriformes	Aves	Chordata	Metazoa
Cow	Bos taurus	Bos taurus	Bos	Bovidae	Artiodactyla	Mammalia	Chordata	Metazoa
Blenniella sp.	Blenniella	NA	Blenniella	Blenniidae	Blenniiformes	Actinopteri	Chordata	Metazoa
Luposicya lupus	Luposicya lupus	Luposicya lupus	Luposicya	Gobiidae	Gobiiformes	Actinopterygii	Chordata	Metazoa
Istigobius goldmanni	Istigobius goldmanni	Istigobius goldmanni	Istigobius	Gobiidae	Gobiiformes	Actinopteri	Chordata	Metazoa
Asterropteryx semipunctata	Asterropteryx semipunctata	Asterropteryx semipunctata	Asterropteryx	Gobiidae	Gobiiformes	Actinopteri	Chordata	Metazoa
Istigobius nigroocellatus	Istigobius nigroocellatus	Istigobius nigroocellatus	Istigobius	Gobiidae	Gobiiformes	Actinopteri	Chordata	Metazoa
Istigobius decoratus	Istigobius decoratus	Istigobius decoratus	Istigobius	Gobiidae	Gobiiformes	Actinopteri	Chordata	Metazoa
Cabillus tongarevae	Cabillus tongarevae	Cabillus tongarevae	Cabillus	Gobiidae	Gobiiformes	Actinopteri	Chordata	Metazoa
Capreolus capreolus (roe deer)	Capreolus capreolus	Capreolus capreolus	Capreolus	Cervidae	Artiodactyla	Mammalia	Chordata	Metazoa
Vulpes vulpes (red fox)	Vulpes vulpes	Vulpes vulpes	Vulpes	Canidae	Carnivora	Mammalia	Chordata	Metazoa
Sichuan takin	Budorcas tibetana	Budorcas tibetana	Budorcas	Bovidae	Artiodactyla	Mammalia	Chordata	Metazoa
Water buffalo	Bubalus bubalis	Bubalus bubalis	Bubalus	Bovidae	Artiodactyla	Mammalia	Chordata	Metazoa
Gallus gallus domesticus (broiler)	Gallus gallus	Gallus gallus	Gallus	Phasianidae	Galliformes	Aves	Chordata	Metazoa
rhinos	Rhinocerotidae	NA	NA	Rhinocerotidae	Perissodactyla	Mammalia	Chordata	Metazoa
deer	Cervidae	NA	NA	Cervidae	Artiodactyla	Mammalia	Chordata	Metazoa
piglet	Sus scrofa	Sus scrofa	Sus	Suidae	Artiodactyla	Mammalia	Chordata	Metazoa
Camelus bactrianus	Camelus bactrianus	Camelus bactrianus	Camelus	Camelidae	Artiodactyla	Mammalia	Chordata	Metazoa
Camelus dromedarius	Camelus dromedarius	Camelus dromedarius	Camelus	Camelidae	Artiodactyla	Mammalia	Chordata	Metazoa
landaise	Anser anser	Anser anser	Anser	Anatidae	Anseriformes	Aves	Chordata	Metazoa
murine	Murinae	NA	NA	Muridae	Rodentia	Mammalia	Chordata	Metazoa
Corvus frugilegus	Corvus frugilegus	Corvus frugilegus	Corvus	Corvidae	Passeriformes	Aves	Chordata	Metazoa
Coloeus monedula	Coloeus	NA	Coloeus	Corvidae	Passeriformes	Aves	Chordata	Metazoa
Hirundo rustica	Hirundo rustica	Hirundo rustica	Hirundo	Hirundinidae	Passeriformes	Aves	Chordata	Metazoa
Merops apiaster	Merops apiaster	Merops apiaster	Merops	Meropidae	Coraciiformes	Aves	Chordata	Metazoa
Hydroprogne caspia	Hydroprogne caspia	Hydroprogne caspia	Hydroprogne	Laridae	Charadriiformes	Aves	Chordata	Metazoa
Porcine	Sus scrofa	Sus scrofa	Sus	Suidae	Artiodactyla	Mammalia	Chordata	Metazoa
Strophurus ciliaris	Strophurus ciliaris	Strophurus ciliaris	Strophurus	Diplodactylidae	Squamata	Lepidosauria	Chordata	Metazoa
goslings	Anser anser	Anser anser	Anser	Anatidae	Anseriformes	Aves	Chordata	Metazoa
Anser indicus	Anser indicus	Anser indicus	Anser	Anatidae	Anseriformes	Aves	Chordata	Metazoa
Mus pahari	Mus pahari	Mus pahari	Mus	Muridae	Rodentia	Mammalia	Chordata	Metazoa
Mus caroli	Mus caroli	Mus caroli	Mus	Muridae	Rodentia	Mammalia	Chordata	Metazoa
porcupine	Hystrix	NA	Hystrix	Poaceae	Poales	Magnoliopsida	Streptophyta	Viridiplantae
Manis javanica	Manis javanica	Manis javanica	Manis	Manidae	Pholidota	Mammalia	Chordata	Metazoa
50-day-old Landes geese	Anser anser	Anser anser	Anser	Anatidae	Anseriformes	Aves	Chordata	Metazoa
Miniopterus africanus	Miniopterus africanus	Miniopterus africanus	Miniopterus	Miniopteridae	Chiroptera	Mammalia	Chordata	Metazoa
Miniopterus natalensis	Miniopterus natalensis	Miniopterus natalensis	Miniopterus	Miniopteridae	Chiroptera	Mammalia	Chordata	Metazoa
Meriones unguiculatus	Meriones unguiculatus	Meriones unguiculatus	Meriones	Muridae	Rodentia	Mammalia	Chordata	Metazoa
Crow	Corvus	NA	Corvus	Corvidae	Passeriformes	Aves	Chordata	Metazoa
home mice	Mus musculus	Mus musculus	Mus	Muridae	Rodentia	Mammalia	Chordata	Metazoa
Spilopelia senegalensis	Spilopelia senegalensis	Spilopelia senegalensis	Spilopelia	Columbidae	Columbiformes	Aves	Chordata	Metazoa
Spatula clypeata	Spatula clypeata	Spatula clypeata	Spatula	Anatidae	Anseriformes	Aves	Chordata	Metazoa
Myotis fimbriatus	Myotis fimbriatus	Myotis fimbriatus	Myotis	Vespertilionidae	Chiroptera	Mammalia	Chordata	Metazoa
Leersia hexandra	Leersia hexandra	Leersia hexandra	Leersia	Poaceae	Poales	Magnoliopsida	Streptophyta	Viridiplantae
Mus musculus; IFNAR KO	Mus musculus	Mus musculus	Mus	Muridae	Rodentia	Mammalia	Chordata	Metazoa
Calliope calliope	Calliope calliope	Calliope calliope	Calliope	Muscicapidae	Passeriformes	Aves	Chordata	Metazoa
Cyanopica cyanus	Cyanopica cyanus	Cyanopica cyanus	Cyanopica	Corvidae	Passeriformes	Aves	Chordata	Metazoa
Phylloscopus inornatus	Phylloscopus inornatus	Phylloscopus inornatus	Phylloscopus	Phylloscopidae	Passeriformes	Aves	Chordata	Metazoa
Periparus ater	Periparus ater	Periparus ater	Periparus	Paridae	Passeriformes	Aves	Chordata	Metazoa
Prunella montanella	Prunella	NA	Prunella	Prunellidae	Passeriformes	Aves	Chordata	Metazoa
domestic cat; sex: male	Felis catus	Felis catus	Felis	Felidae	Carnivora	Mammalia	Chordata	Metazoa
Turdus philomelos	Turdus philomelos	Turdus philomelos	Turdus	Turdidae	Passeriformes	Aves	Chordata	Metazoa
chimpanzee	Pan troglodytes	Pan troglodytes	Pan	Hominidae	Primates	Mammalia	Chordata	Metazoa
Petroica macrocephala	Petroica macrocephala	Petroica macrocephala	Petroica	Petroicidae	Passeriformes	Aves	Chordata	Metazoa
Zosterops lateralis	Zosterops lateralis	Zosterops lateralis	Zosterops	Zosteropidae	Passeriformes	Aves	Chordata	Metazoa
Paradoxurus hermaphroditus	Paradoxurus hermaphroditus	Paradoxurus hermaphroditus	Paradoxurus	Viverridae	Carnivora	Mammalia	Chordata	Metazoa
Paguma larvata	Paguma larvata	Paguma larvata	Paguma	Viverridae	Carnivora	Mammalia	Chordata	Metazoa
Chicken	Gallus gallus	Gallus gallus	Gallus	Phasianidae	Galliformes	Aves	Chordata	Metazoa
Myodes	Myodes	NA	Myodes	Cricetidae	Rodentia	Mammalia	Chordata	Metazoa
Coypu	Myocastor coypus	Myocastor coypus	Myocastor	Myocastoridae	Rodentia	Mammalia	Chordata	Metazoa
Gobiomorphus cotidianus	Gobiomorphus cotidianus	Gobiomorphus cotidianus	Gobiomorphus	Eleotridae	Gobiiformes	Actinopteri	Chordata	Metazoa
Hoary bamboo rat	Rhizomys pruinosus	Rhizomys pruinosus	Rhizomys	Spalacidae	Rodentia	Mammalia	Chordata	Metazoa
Porcupine	Hystrix	NA	Hystrix	Poaceae	Poales	Magnoliopsida	Streptophyta	Viridiplantae
rabbit	Oryctolagus cuniculus	Oryctolagus cuniculus	Oryctolagus	Leporidae	Lagomorpha	Mammalia	Chordata	Metazoa
coypu	Myocastor coypus	Myocastor coypus	Myocastor	Myocastoridae	Rodentia	Mammalia	Chordata	Metazoa
raccoon dog	Nyctereutes procyonoides	Nyctereutes procyonoides	Nyctereutes	Canidae	Carnivora	Mammalia	Chordata	Metazoa
eurasian red squirrel	Sciurus vulgaris	Sciurus vulgaris	Sciurus	Sciuridae	Rodentia	Mammalia	Chordata	Metazoa
masked palm civet	Paguma larvata	Paguma larvata	Paguma	Viverridae	Carnivora	Mammalia	Chordata	Metazoa
pallas's squirrel	Callosciurus erythraeus	Callosciurus erythraeus	Callosciurus	Sciuridae	Rodentia	Mammalia	Chordata	Metazoa
hoary bamboo rat	Rhizomys pruinosus	Rhizomys pruinosus	Rhizomys	Spalacidae	Rodentia	Mammalia	Chordata	Metazoa
Raccoon dog	Nyctereutes procyonoides	Nyctereutes procyonoides	Nyctereutes	Canidae	Carnivora	Mammalia	Chordata	Metazoa
Eurasian red squirrel	Sciurus vulgaris	Sciurus vulgaris	Sciurus	Sciuridae	Rodentia	Mammalia	Chordata	Metazoa
Ailurus fulgens	Ailurus fulgens	Ailurus fulgens	Ailurus	Ailuridae	Carnivora	Mammalia	Chordata	Metazoa
Tetragnatha nitens	Tetragnatha nitens	Tetragnatha nitens	Tetragnatha	Tetragnathidae	Araneae	Arachnida	Arthropoda	Metazoa
Culex tritaeniorhynchus	Culex tritaeniorhynchus	Culex tritaeniorhynchus	Culex	Culicidae	Diptera	Insecta	Arthropoda	Metazoa
shellfish	Mollusca	NA	NA	NA	NA	NA	Mollusca	Metazoa
Miniopterus gleni; UABBA 33031; male	Miniopterus gleni	Miniopterus gleni	Miniopterus	Miniopteridae	Chiroptera	Mammalia	Chordata	Metazoa
Miniopterus gleni; FMNH 221332; male	Miniopterus gleni	Miniopterus gleni	Miniopterus	Miniopteridae	Chiroptera	Mammalia	Chordata	Metazoa
Miniopterus gleni; FMNH 221331; male	Miniopterus gleni	Miniopterus gleni	Miniopterus	Miniopteridae	Chiroptera	Mammalia	Chordata	Metazoa
Miniopterus gleni; FMNH 221330; male	Miniopterus gleni	Miniopterus gleni	Miniopterus	Miniopteridae	Chiroptera	Mammalia	Chordata	Metazoa
Miniopterus gleni; UADBA 33027; male	Miniopterus gleni	Miniopterus gleni	Miniopterus	Miniopteridae	Chiroptera	Mammalia	Chordata	Metazoa
Macronycteris commersoni; UADBA 50272; female	Macronycteris commersoni	Macronycteris commersonii	Macronycteris	Hipposideridae	Chiroptera	Mammalia	Chordata	Metazoa
Macronycteris commersoni; UADBA 50270; female	Macronycteris commersoni	Macronycteris commersonii	Macronycteris	Hipposideridae	Chiroptera	Mammalia	Chordata	Metazoa
Macronycteris commersoni; FMNH 218012; female	Macronycteris commersoni	Macronycteris commersonii	Macronycteris	Hipposideridae	Chiroptera	Mammalia	Chordata	Metazoa
Mops leucostigma; female	Mops leucostigma	Mops leucostigma	Mops	Molossidae	Chiroptera	Mammalia	Chordata	Metazoa
Mops leucostigma; male	Mops leucostigma	Mops leucostigma	Mops	Molossidae	Chiroptera	Mammalia	Chordata	Metazoa
Chaerephon leucogaster; male	Chaerephon leucogaster	Mops leucogaster	Mops	Molossidae	Chiroptera	Mammalia	Chordata	Metazoa
