GBAC,1A,1A-chain,1B,1B-chain,2,2-chain
PV793832,NA-NA,NA,284-1823,1,NA-NA,NA
PV793831,NA-NA,NA,NA-NA,NA,NA-NA,NA
PV793830,NA-NA,NA,566-2120,1,NA-NA,NA
PV880246,NA-NA,NA,NA-NA,NA,0-405,1
PV880245,NA-NA,NA,NA-NA,NA,0-435,1
PV880244,125-2612,1,2566-3790,1,NA-NA,NA
PV880243,0-396,1,353-1868,1,1857-4104,1
PV880242,NA-NA,NA,NA-NA,NA,0-1167,1
PV880241,NA-NA,NA,NA-NA,NA,0-561,1
PV880240,NA-NA,NA,NA-NA,NA,0-2064,1
PV880239,0-1977,1,1931-2403,1,NA-NA,NA
PV880238,0-87,1,41-1550,1,1542-3804,1
PQ421854,NA-NA,NA,NA-NA,NA,NA-NA,NA
PQ421853,NA-NA,NA,NA-NA,NA,NA-NA,NA
PQ421852,NA-NA,NA,NA-NA,NA,NA-NA,NA
PQ421851,NA-NA,NA,NA-NA,NA,NA-NA,NA
PQ421850,NA-NA,NA,2832-4341,1,NA-NA,NA
PQ421849,NA-NA,NA,2505-4005,1,NA-NA,NA
PQ421848,NA-NA,NA,NA-NA,NA,NA-NA,NA
PQ421847,NA-NA,NA,NA-NA,NA,NA-NA,NA
PQ421846,NA-NA,NA,NA-NA,NA,NA-NA,NA
PQ421845,NA-NA,NA,NA-NA,NA,NA-NA,NA
PQ421844,NA-NA,NA,NA-NA,NA,NA-NA,NA
PQ421843,NA-NA,NA,NA-NA,NA,NA-NA,NA
PQ421842,NA-NA,NA,NA-NA,NA,NA-NA,NA
PQ421841,NA-NA,NA,NA-NA,NA,NA-NA,NA
PP942995,0-485,1,NA-NA,NA,NA-NA,NA
PP942994,0-485,1,NA-NA,NA,NA-NA,NA
PV853945,42-2466,1,2423-3938,1,3924-6120,1
PV847578,NA-NA,NA,NA-NA,NA,0-2331,1
PV843273,NA-NA,NA,2748-4251,1,4240-6436,1
PV838126,NA-NA,NA,0-326,1,NA-NA,NA
PV838125,NA-NA,NA,0-326,1,NA-NA,NA
PV838124,NA-NA,NA,0-308,1,NA-NA,NA
PV838123,NA-NA,NA,0-308,1,NA-NA,NA
PV838122,NA-NA,NA,0-308,1,NA-NA,NA
PV838121,NA-NA,NA,0-308,1,NA-NA,NA
PV838120,NA-NA,NA,0-308,1,NA-NA,NA
PV838119,NA-NA,NA,0-308,1,NA-NA,NA
PV838118,NA-NA,NA,0-308,1,NA-NA,NA
PV838117,NA-NA,NA,0-308,1,NA-NA,NA
PV838116,NA-NA,NA,0-308,1,NA-NA,NA
PV838115,NA-NA,NA,0-308,1,NA-NA,NA
PV838114,NA-NA,NA,0-308,1,NA-NA,NA
PV838113,NA-NA,NA,0-308,1,NA-NA,NA
PV838112,NA-NA,NA,0-308,1,NA-NA,NA
PV838111,NA-NA,NA,0-311,1,NA-NA,NA
PV838110,NA-NA,NA,0-311,1,NA-NA,NA
PV838109,NA-NA,NA,0-311,1,NA-NA,NA
PV838108,NA-NA,NA,0-311,1,NA-NA,NA
PV838107,NA-NA,NA,0-311,1,NA-NA,NA
PV838106,NA-NA,NA,0-311,1,NA-NA,NA
PV838105,NA-NA,NA,0-311,1,NA-NA,NA
PV838104,NA-NA,NA,0-311,1,NA-NA,NA
PV838103,NA-NA,NA,0-311,1,NA-NA,NA
PV838102,NA-NA,NA,0-311,1,NA-NA,NA
PV838101,NA-NA,NA,0-311,1,NA-NA,NA
PV838100,NA-NA,NA,0-311,1,NA-NA,NA
PV838099,NA-NA,NA,0-311,1,NA-NA,NA
PV838098,NA-NA,NA,0-311,1,NA-NA,NA
PV838097,NA-NA,NA,0-311,1,NA-NA,NA
PV838096,NA-NA,NA,0-311,1,NA-NA,NA
PV838095,NA-NA,NA,0-311,1,NA-NA,NA
PV838094,NA-NA,NA,0-311,1,NA-NA,NA
PV838093,NA-NA,NA,0-311,1,NA-NA,NA
PV791158,79-2881,1,NA-NA,NA,NA-NA,NA
PV780444,NA-NA,NA,NA-NA,NA,0-2115,1
PV780443,NA-NA,NA,NA-NA,NA,0-2115,1
PV780442,NA-NA,NA,NA-NA,NA,0-2115,1
PV780441,NA-NA,NA,NA-NA,NA,0-2115,1
PV780440,NA-NA,NA,NA-NA,NA,0-2115,1
PV780439,NA-NA,NA,NA-NA,NA,0-2115,1
PV780438,NA-NA,NA,NA-NA,NA,0-2115,1
PV780437,22-3277,1,3267-4818,1,4836-6951,1
PV780436,15-3270,1,3260-4811,1,4829-6944,1
PV780435,13-3268,1,3258-4809,1,4827-6942,1
PV780434,53-3308,1,3298-4849,1,4867-6982,1
OP556335,2-1373,1,1669-4546,1,NA-NA,NA
PP872139,NA-NA,NA,NA-NA,NA,0-2328,1
PP872138,NA-NA,NA,0-1032,1,1024-3283,1
PP872137,NA-NA,NA,0-1425,1,1417-3683,1
PP872136,NA-NA,NA,0-720,1,712-3208,1
PP872135,NA-NA,NA,NA-NA,NA,0-2469,1
PP872134,NA-NA,NA,NA-NA,NA,0-1005,1
PP872133,0-2475,1,NA-NA,NA,NA-NA,NA
PP872132,NA-NA,NA,0-2298,1,NA-NA,NA
PP872131,NA-NA,NA,0-1221,1,1213-3538,1
PP872130,NA-NA,NA,NA-NA,NA,0-2340,1
PP872129,0-669,1,NA-NA,NA,NA-NA,NA
PP872128,NA-NA,NA,NA-NA,NA,0-1428,1
PP872127,NA-NA,NA,NA-NA,NA,0-1044,1
PP872126,NA-NA,NA,0-585,1,577-2923,1
PP872125,0-2322,1,NA-NA,NA,NA-NA,NA
PP872124,0-2478,1,NA-NA,NA,NA-NA,NA
PP872123,NA-NA,NA,0-918,1,910-3403,1
PP872122,NA-NA,NA,NA-NA,NA,0-2169,1
PP872121,NA-NA,NA,NA-NA,NA,0-1425,1
PP872120,NA-NA,NA,0-1644,1,NA-NA,NA
